date,fix_return,fix_return_narrow,control_return,post_fix_return,daily_log_return
2011-01-03,-0.001593625835277925,-0.00012248147483016599,-0.00036848247054536976,0.00036798528474127427,0.0066347460485565125
2011-01-04,-0.0009745402160010386,-0.001340564456444267,0.0008522554847140546,-0.0014635933823764003,0.0046426473127502655
2011-01-05,0.001442307942337997,0.0021624227551786785,0.0006093474078008954,-0.0006007088544910447,0.013800001110585719
2011-01-06,-0.0004811740740017426,0.000120242890784034,0.0013241049181041264,0.00048117407400171655,0.001441614858031333
2011-01-07,-0.0014443911995986845,-0.00012041664172527517,0.00035925992841950486,0.0,-0.0016820861829848262
2011-01-10,-0.0004833252873209234,-0.000966767446899636,0.00048105833759941823,0.0,-0.0039819057137636055
2011-01-11,-0.00023983691205037248,-0.0004795013278158285,-0.00048128986610666705,-0.00023989444759399845,0.0077080954929879385
2011-01-12,-0.000839882465832908,-0.00023995201074936836,0.001443869821292217,-0.0003601656801044244,-0.0033649833458228294
2011-01-13,-0.0006039741682663769,-0.00012072191721067728,-0.00024102193416262527,-0.00048344211722330734,-0.0037387729736377048
2011-01-14,0.0020547538503879258,0.0020537609151803924,-0.00012073649275166844,0.0016889858038506946,0.001207583771913369
2011-01-17,0.00036304229841465594,0.0,-0.0006045583885239263,0.00024195499755107303,-0.0026579694275866363
2011-01-18,-0.00024180873047330604,-0.0003625596752507479,0.0009695795208728552,-0.0008467913165526921,-0.0006050705091723795
2011-01-19,-0.00048750762696160875,-0.0004873294443423674,0.00048644048143919936,0.0,-0.005583894091136704
2011-01-20,0.00036168545815930557,-0.0006026637921213297,0.0004869141909956165,0.0002410509834501854,0.009570610334958138
2011-01-21,-0.0008467913165526921,0.0,-0.0006035367435300011,-0.00012102874447443348,-0.004592153084982566
2011-01-24,-0.003391886958783109,-0.0025474630141011545,0.00036238449390957306,0.00024265954984417304,-0.0007267442180327977
2011-01-25,0.0007276255475041078,0.00012130769712197214,0.0003642323842854715,-0.0021844668880875934,-0.0032769008023147985
2011-01-26,0.0006077180375428715,0.0006078658019521829,0.0004868549268511563,-0.00024304289826766076,-0.0012163971819753381
2011-01-27,0.000602954495204124,0.0006033910760513253,-0.0004832668935423196,0.0008435259884390584,0.008725212890870032
2011-01-28,-0.0003650301190377882,-0.0006079397111065838,0.00012101409829025788,-0.0019490808947766163,-0.009212186360440003
2011-01-31,0.0008539189295948197,0.00048792389355408,0.00024336821731214494,-0.0007318858584811925,0.0
2011-02-01,-0.002818802038010905,-0.002450981619140185,0.0001226016062344021,-0.00024548913833865845,-0.008563791021224792
2011-02-02,0.0017167386190545491,0.00012257155129648,0.00012285766954466483,0.001958384958836656,0.001227897993178211
2011-02-03,-0.003183156458584076,-0.0017127481554225206,0.0002448579835934594,-0.0011042268467563877,0.0019615060843457873
2011-02-04,0.0017087761999961218,0.00012203307111367409,0.00024509804044251253,0.0,0.00634845252662224
2011-02-07,0.00048584963909666215,0.0,0.00036409976735760736,0.0006069802917767355,0.0008510121478892888
2011-02-08,-0.002927902543030954,-0.0007327797103667621,-0.00036543029823797027,0.0007327797103668155,0.0
2011-02-09,0.002182612725318093,0.001091239877914816,-0.0006055101607953163,-0.0012119744544987086,0.001457195157670408
2011-02-10,0.00048088483735077975,0.0001202139810306511,-0.00024192572998127992,-0.0010823162622279538,0.01122183721901521
2011-02-11,0.0008398824658328066,0.001079201495713948,0.0008383736044084067,0.0017973763151641678,0.0010793309196758319
2011-02-14,0.00047990402840672545,0.0003599928040318236,0.0007199424357041638,-0.0005999160297509691,-0.0003596475492821024
2011-02-15,0.0007165034937532368,0.001074434533015939,-0.0014366098484195505,0.0002387204594770108,0.00359066813072854
2011-02-16,0.0003576324768404578,0.0007157342545792204,0.0004783544697769898,-0.002864647459108236,-0.0011954574047737456
2011-02-17,0.00096096103491082,0.001441095481776884,0.0005984082519544725,-0.0003602521804197183,-0.003835095783942426
2011-02-18,-0.0004797313596443277,0.0003598632558478081,-0.0007195970567174151,-0.0018010450927183838,-0.0013217184261173351
2011-02-21,-0.00108192593351243,-0.0002404713249535757,-0.0001202428907839872,0.0,-0.00036107601042234023
2011-02-22,-0.0032539950375514875,-0.0008436276487090451,0.0006031727066275913,0.0009652510401953635,-0.0037387729736377048
2011-02-23,0.0003635262081839722,0.00012113136711574457,0.0006043391735274004,-0.002061731371278396,-0.003995404552206155
2011-02-24,-0.0006115086107516018,-0.0006111348964883094,-0.0004889975647561735,-0.0007343042797210103,-0.004620630789036383
2011-02-25,-0.0006117330587783269,-0.0002446782493243358,-0.00012197353189476881,0.0004894163807468786,-0.004642080165915527
2011-02-28,0.0006109855386501065,0.0008548574740537327,0.00024452867220503663,0.0007326902269407221,0.003058293410697168
2011-03-01,-0.0007314397497868938,-0.0006094959657202076,0.00012181009820770537,-0.0020753227249627657,0.0003663674706668944
2011-03-02,0.0004898359147660373,0.0002449179537101579,0.00012206286252567737,-0.0007348438787505547,-0.0008550663197334986
2011-03-03,0.0008501852701333549,0.00048584963909666215,-0.0004889377924075718,0.00048549582213474284,0.006455957620298461
2011-03-04,-0.00012151406540249324,-0.00012139605477719526,0.0007270964934966811,0.0006074227241371278,-0.0007287744765645666
2011-03-07,-0.0010961574692371528,0.00012195865616693459,0.00012183978083908263,0.0006091247066572823,-0.0007289515570022205
2011-03-08,-0.000241750273146392,-0.00036273502604368526,-0.00012127827314589395,-0.00036273502604368526,0.00642076226085227
2011-03-09,0.00169245688368143,0.0008468937654567336,0.0,-0.0002416042534102557,0.00012075107181233747
2011-03-10,-0.001084664161780194,-0.0004821019739029981,0.00012061998687798401,0.0006027364416094896,0.0010861040107061405
2011-03-11,-0.004397759347769748,-0.001466096780627829,-0.004489481544128124,0.0008566359209525832,-0.012623058739770442
2011-03-14,-0.00012225686181852068,-0.0002444987787240992,-0.0008543358059154203,-0.0019581452836182536,0.0024506812902498894
2011-03-15,-0.0012359413265305118,-0.001607220473316677,-0.0001227069146886441,-0.0007422986855751774,-0.01119942786956628
2011-03-16,-0.001366035605159694,-0.002609831842370786,-0.0006189268007194386,-0.003984565102479402,-0.029133150269941965
2011-03-17,-0.0006347191580910138,0.0006354451506952908,-0.002027370182501984,0.00025393600949042826,0.009132483563272472
2011-03-18,-0.0006158014850673268,-0.0009865582252885203,0.0007378259065658034,-0.0007394626908309945,0.017398273516039876
2011-03-21,-0.00012325137132755692,-0.0002464875536267471,0.00012323618229907217,0.0,0.0049352351867311
2011-03-22,0.0003704389744157712,0.00012343393214440086,0.0007399186427105144,-0.00012346441154028579,-0.0025879612694188372
2011-03-23,0.0009888752350947097,0.0013599557019664187,0.0007422986855752281,0.0003705762503034397,-0.0013582764328174436
2011-03-24,-0.0001236323176453638,-0.0004946821767956025,0.0007413814747093486,-0.0006183909664629486,0.0007411067532878163
2011-03-25,-0.0007392804673814429,-0.0004929143661107327,0.0,-0.0002465483247202051,0.00443514340414838
2011-03-28,0.0003672644957729973,-0.0006122574121338143,0.000734214423584954,0.0002447680834640325,0.004169227375877375
2011-03-29,-0.0004859086587345821,0.0004861448807459246,0.0,0.0006073489406252482,0.009014557329332677
2011-03-30,0.0006021557356632968,0.0007228045128568005,0.0010842721380319245,-0.00048169557771480945,0.0055629602888248916
2011-03-31,0.00012082401996193845,-0.0009661836500410655,-0.0006039741682663769,0.0015693852439450583,0.003130646747186943
2011-04-01,0.0028436038118676843,-0.0011821729713453295,0.000597550062596556,-0.0024877108132716386,0.010404925539858945
2011-04-04,0.00011921082448413519,-0.0003576324768404018,0.00011899803667296306,-0.00011921082448407047,0.00011885659965271578
2011-04-05,-0.001654846713349562,-0.00023651844954150533,-0.002017685094929101,-0.00011830819298041114,0.012167180990614737
2011-04-06,0.0004689331856152564,-0.00011722642296996674,-0.00047058824397848653,0.0015225159584502494,0.0025797387665252077
2011-04-07,0.00023487962527245711,0.0002349072127318272,0.0,-0.00011743291658129513,-0.004342474988870794
2011-04-08,-0.00046981443194435353,-0.00023490721273177967,-0.0007040601088770873,-0.0012931289640667218,-0.003062789530545656
2011-04-11,0.00023637867974387808,0.0005911912675881747,-0.0012989315163985183,0.0007088009747429276,-0.003066401742277802
2011-04-12,0.0,0.001306025712503605,0.00011856067356336344,-0.006678617549377415,-0.013197980051374897
2011-04-13,0.000595131839264101,0.00011902636448014413,-0.0007143707888038016,-0.00154808009482173,0.004418709046639169
2011-04-14,-0.0007215875237937394,-0.0008421053129221128,-0.0015586598683378521,0.00012030075202477035,-0.005256881879041658
2011-04-15,-0.0016847176066569574,-0.00024064492956952816,0.0022873663136182424,0.0014442173649974932,-0.004201434666003349
2011-04-18,-0.000726832254893116,-0.0003634821630859685,-0.0010855799871978154,-0.003398886496196142,-0.007726707522684803
2011-04-19,-0.00036396724696616077,-0.0008494630691008399,-0.00072753731837709,0.00024265954984417304,0.0006058036170007761
2011-04-20,0.00012133713537920978,0.0012124152794566682,0.0006038282895864357,0.00024263011158685228,-0.0002422774088167901
2011-04-21,-0.0025692801801065327,-0.000489476270173968,0.00024375380986015272,0.0013466366728666116,-0.008028263531347113
2011-04-22,-0.00012215232409994536,0.0,-0.00036600988635281594,0.00036641221784005284,0.0
2011-04-25,0.0018296034865293543,0.00012197353189479873,-0.0012184721868197764,-0.001341381824201336,-0.0004888182915369118
2011-04-26,0.0,0.00036721954020576457,0.00012236157861712573,-0.00012240651217935083,-0.0026927800848980457
2011-04-27,0.0009720535394806889,0.0006072751750360177,-0.0007337654725701858,0.004241659392316528,0.008056684204772402
2011-04-28,0.0012277472383223377,-0.00012279732317259425,-0.0006129329030384462,-0.0006136851987628849,-0.0086696922543739
2011-04-29,-0.00147438286937035,-0.0004910988435103887,-0.0006132335998883229,-0.0023388944003826496,-0.004424785980355695
2011-05-02,-0.0017224413707273114,-0.000368981001664798,0.0003681659242666206,-0.0018487710941569098,0.0018478600884796262
2011-05-03,0.0014851487878302177,0.0013609652580110943,0.0003706220315448081,-0.0003710804668718442,-0.003575615670691564
2011-05-04,-0.004705308334539649,-0.003098087861223006,-0.0006173220765215205,0.0008684325339539724,-0.004084416842224736
2011-05-05,0.00050056314397713,0.0011254925217345582,0.00012455626845524166,0.00025018764203553137,-0.003852132753511666
2011-05-06,-0.0019868378571172873,-0.0008692953046645134,0.000373018344393609,0.0017386988980277961,0.0037281017456007124
2011-05-09,0.0007439553969912622,0.0004960317562021889,-0.0001240156261279003,0.0004956629593424123,-0.005467210437132405
