time,equity
2011-02-21 09:15:00,100000.0
2011-02-21 10:10:00,100437.41
2011-02-21 10:50:00,100373.86
2011-03-14 14:25:00,100373.86
2011-03-14 20:45:00,100915.43
2011-03-14 21:50:00,101753.39
2011-04-01 16:00:00,101753.39
2011-04-01 16:35:00,102198.2
2011-04-03 18:15:00,102141.28
2011-04-17 17:05:00,102141.28
2011-04-17 21:05:00,101072.57
2011-05-03 10:30:00,101072.57
2011-05-03 11:20:00,101623.27
2011-05-03 11:45:00,102495.69
2011-07-27 16:05:00,102495.69
2011-07-27 17:05:00,102802.73
2011-07-27 18:00:00,102795.15
2011-08-14 17:55:00,102795.15
2011-08-14 20:25:00,103223.61
2011-08-14 20:50:00,103169.63
2011-08-30 17:10:00,103169.63
2011-08-31 02:30:00,102044.81
2011-12-11 17:00:00,102044.81
2011-12-11 17:05:00,102017.04
2011-12-16 09:25:00,102017.04
2011-12-16 09:30:00,102431.56
2011-12-16 09:45:00,103013.34
2012-02-03 16:20:00,103013.34
2012-02-03 16:50:00,103401.89
2012-02-03 16:55:00,103381.23
2012-02-16 08:30:00,103381.23
2012-02-16 09:10:00,102342.1
2012-05-23 09:30:00,102342.1
2012-05-23 09:40:00,100721.31
2012-08-02 13:35:00,100721.31
2012-08-02 14:35:00,101137.57
2012-08-02 14:55:00,101112.42
2012-10-17 09:55:00,101112.42
2012-10-17 13:40:00,101477.81
2012-10-17 19:05:00,102076.41
2012-11-21 11:05:00,102076.41
2012-11-21 14:40:00,101034.51
2012-12-03 10:20:00,101034.51
2012-12-03 13:45:00,101529.91
2012-12-03 15:40:00,101312.95
2012-12-14 09:30:00,101312.95
2012-12-14 11:05:00,101744.21
2012-12-14 11:15:00,102276.99
2012-12-31 10:40:00,102276.99
2012-12-31 10:55:00,103112.37
2013-03-13 09:10:00,103112.37
2013-03-13 09:35:00,103550.57
2013-03-13 09:40:00,104122.91
2013-04-15 17:20:00,104122.91
2013-04-15 18:00:00,104473.55
2013-04-15 21:05:00,104464.17
2013-04-22 10:25:00,104464.17
2013-04-22 10:35:00,105133.74
2013-04-22 11:15:00,105132.48
2013-08-01 08:15:00,105132.48
2013-08-01 08:30:00,105685.46
2013-09-24 10:25:00,105685.46
2013-09-24 10:35:00,106244.42
2013-09-24 10:45:00,107104.54
2013-10-08 10:45:00,107104.54
2013-10-08 11:05:00,107573.11
2013-10-08 11:30:00,108196.67
2014-01-13 10:15:00,108196.67
2014-01-13 12:50:00,108791.04
2014-01-13 13:00:00,108753.45
2014-01-23 14:55:00,108753.45
2014-01-23 16:05:00,107515.76
2014-03-10 12:10:00,107515.76
2014-03-10 20:00:00,108213.38
2014-03-10 22:45:00,109149.61
2014-04-25 09:35:00,109149.61
2014-04-25 11:55:00,109607.72
2014-04-25 12:30:00,110555.39
2014-05-16 10:55:00,110555.39
2014-05-16 16:20:00,110998.44
2014-05-18 20:15:00,110976.18
2014-06-06 09:00:00,110976.18
2014-06-06 09:10:00,109848.03
2014-06-11 09:20:00,109848.03
2014-06-11 09:50:00,110539.1
2014-06-11 10:15:00,111440.35
2014-06-13 10:30:00,111440.35
2014-06-13 11:35:00,111440.35
2014-06-13 14:00:00,111833.89
2014-06-13 16:45:00,111829.26
2014-06-15 20:00:00,112375.11
2014-06-15 21:25:00,113300.59
2014-07-10 12:05:00,113300.59
2014-07-10 12:20:00,111582.45
2014-07-15 12:10:00,111582.45
2014-07-16 00:30:00,109759.37
2014-08-08 11:10:00,109759.37
2014-08-08 11:30:00,108344.35
2014-08-26 10:10:00,108344.35
2014-08-26 11:45:00,107137.84
2014-09-02 11:10:00,107137.84
2014-09-02 13:30:00,107840.96
