pair,trades,wins,losses,win_rate_pct,total_pnl,profit_factor,pct_of_total_pnl
EURUSD,54,38,16,70.4,21519.17,1.587,43.2
GBPUSD,51,34,17,66.7,6064.39,1.275,12.2
USDJPY,66,47,19,71.2,22193.2,1.588,44.6
